,depart_airport,depart_date,depart_time,arrival_time,arrival_date,dest_airport,airline
0,Ogden Hinckley Airport - Ogden,2022-12-24,21:47,04:09,2022-12-24,Oryol Yuzhny Airport - Orel,Air Paradise International
1,Aurora State Airport - Aurora,2022-08-20,01:45,06:40,2022-08-20,Ningbo Lishe International Airport - Ningbo,United Parcel Service
2,Bromont (Roland Désourdy) Airport - Bromont,2022-05-26,00:40,01:15,2022-05-26,West Sale Airport - Sale,Air Caledonie
3,Dallas Love Field - Dallas,2022-08-20,21:50,01:35,2022-08-20,Lianshui Airport - Huai'an,Air Caledonie International
4,Lahr Airport - nan,2022-12-23,21:24,02:28,2022-12-23,"Stokmarknes Airport, Skagen - Hadsel",Asiana Airlines
5,Shillong Airport - Shillong,2022-07-08,18:11,23:59,2022-07-08,Waynesville-St. Robert Regional Forney field - Fort Leonard Wood,Citilink Indonesia
6,Sofia Airport - Sofia,2022-12-27,17:30,22:05,2022-12-27,Prince Said Ibrahim International Airport - Moroni,Fiji Airways
7,Revelstoke Airport - Revelstoke,2022-05-13,23:04,00:38,2022-05-13,Mutiara - SIS Al-Jufrie Airport - Palu,SkyAirWorld
8,Plettenberg Bay Airport - Plettenberg Bay,2022-12-02,00:54,04:54,2022-12-02,Robin Hood Doncaster Sheffield Airport - Doncaster,Pel-Air Aviation
9,Catarman National Airport - Catarman,2022-09-19,13:59,19:29,2022-09-19,Malmö Sturup Airport - Malmö,Ansett Air Freight
10,Texarkana Regional Webb Field - Texarkana,2022-06-16,19:40,01:47,2022-06-16,Xuzhou Guanyin International Airport - Xuzhou,National Airlines
11,Capitan FAP Jose A Quinones Gonzales International Airport - Chiclayo,2022-07-25,23:48,02:36,2022-07-25,Palmarito Airport - Palmarito,Virgin Samoa
12,Choibalsan Airport - nan,2022-12-03,05:16,06:27,2022-12-03,New Bedford Regional Airport - New Bedford,Asiana Airlines
13,Gemena Airport - Gemena,2022-12-18,00:00,03:07,2022-12-18,Avignon-Caumont Airport - Avignon/Caumont,Asian Express Airlines
14,Laoag International Airport - Laoag City,2022-05-03,18:45,20:49,2022-05-03,Wiluna Airport - nan,Hawaiian Airlines
15,Akita Airport - Akita,2022-07-02,17:02,18:37,2022-07-02,Kaukura Airport - Raitahiti,OzJet
16,Tel Nof Air Base - Rehovot,2022-10-29,01:39,06:14,2022-10-29,Gostomel Airport - Kiev,Swissair
17,Melun-Villaroche Air Base - Melun/Villaroche,2022-06-09,18:43,21:37,2022-06-09,Gustavus Airport - Gustavus,Cargolux Airlines Intl
18,Davison Army Air Field - Fort Belvoir,2022-10-20,09:57,10:22,2022-10-20,Gran Canaria Airport - Gran Canaria Island,Air Austral
19,Tbilisi Marneuli Air Base - Tbilisi,2022-06-05,18:41,22:05,2022-06-05,Tianshui Maijishan Airport - Tianshui,American Airlines
20,Lien Khuong Airport - Da Lat,2022-10-16,17:15,23:26,2022-10-16,Yuma International Airport / Marine Corps Air Station Yuma - Yuma,Air Zimbabwe
21,Arba Minch Airport - nan,2022-07-24,10:23,15:18,2022-07-24,Martin State Airport - Baltimore,Hawaiian Airlines
22,Rafael Cabrera Airport - Nueva Gerona,2022-05-28,23:06,05:20,2022-05-28,Merrill Field - Anchorage,Tasman Cargo Airlines
23,Ghriss Airport - Ghriss,2022-08-02,18:01,00:14,2022-08-02,Annemasse Airfield - Annemasse,Yugoslav Airlines
