,codes,airports,cities,countries,airports - cities
0,5A8,Aleknagik / New Airport,Aleknagik,US,Aleknagik / New Airport - Aleknagik
1,AF-0005,Khost International Airport,Khost,AF,Khost International Airport - Khost
2,AGGH,Honiara International Airport,Honiara,SB,Honiara International Airport - Honiara
3,AGGM,Munda Airport,Munda,SB,Munda Airport - Munda
4,AHJ,Hongyuan Airport,Aba,CN,Hongyuan Airport - Aba
5,ANYN,Nauru International Airport,Yaren District,NR,Nauru International Airport - Yaren District
6,AQ-0005,Jack F. Paulus Skiway,Amundsen-Scott South Pole Station,AQ,Jack F. Paulus Skiway - Amundsen-Scott South Pole Station
7,AQBC,Boulder Clay Runway,Zucchelli Station,AQ,Boulder Clay Runway - Zucchelli Station
8,AT03,Concordia Skyway,Concordia Station,AQ,Concordia Skyway - Concordia Station
9,AT28,Vostok Skiway,Vostok Station,AQ,Vostok Skiway - Vostok Station
10,AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,Alxa Left Banner Bayanhot Airport - Bayanhot
11,AYBK,Buka Airport,Buka Island,PG,Buka Airport - Buka Island
12,AYCH,Chimbu Airport,Kundiawa,PG,Chimbu Airport - Kundiawa
13,AYDU,Daru Airport,Daru,PG,Daru Airport - Daru
14,AYGA,Goroka Airport,Goronka,PG,Goroka Airport - Goronka
15,AYGN,Gurney Airport,Gurney,PG,Gurney Airport - Gurney
16,AYGR,Girua Airport,Popondetta,PG,Girua Airport - Popondetta
17,AYHK,Hoskins Airport,Kimbe,PG,Hoskins Airport - Kimbe
18,AYKM,Kerema Airport,Kerema,PG,Kerema Airport - Kerema
19,AYKV,Kavieng Airport,Kavieng,PG,Kavieng Airport - Kavieng
20,AYMD,Madang Airport,Madang,PG,Madang Airport - Madang
21,AYMH,Mount Hagen Kagamuga Airport,Mount Hagen,PG,Mount Hagen Kagamuga Airport - Mount Hagen
22,AYMN,Mendi Airport,Mendi,PG,Mendi Airport - Mendi
23,AYMO,Momote Airport,Manus Island,PG,Momote Airport - Manus Island
24,AYNZ,Nadzab Airport,Lae,PG,Nadzab Airport - Lae
25,AYPY,Port Moresby Jacksons International Airport,Port Moresby,PG,Port Moresby Jacksons International Airport - Port Moresby
26,AYTK,Tokua Airport,Kokopo,PG,Tokua Airport - Kokopo
27,AYVN,Vanimo Airport,Vanimo,PG,Vanimo Airport - Vanimo
28,AYWD,Wapenamanda Airport,Wapenamanda,PG,Wapenamanda Airport - Wapenamanda
29,AYWK,Wewak International Airport,Wewak,PG,Wewak International Airport - Wewak
30,AZ-0001,Zabrat Airport,Baku,AZ,Zabrat Airport - Baku
31,AZ-0013,Sitalchay Airbase,Sitalchay,AZ,Sitalchay Airbase - Sitalchay
32,AZ-0021,Qizilagach Air Base,Qizilagach,AZ,Qizilagach Air Base - Qizilagach
33,BCW,Benguera Island Airport,Benguera Island,MZ,Benguera Island Airport - Benguera Island
34,BG-JAM,Bezmer Air Base,Yambol,BG,Bezmer Air Base - Yambol
35,BGAA,Aasiaat Airport,Aasiaat,GL,Aasiaat Airport - Aasiaat
36,BGBW,Narsarsuaq Airport,Narsarsuaq,GL,Narsarsuaq Airport - Narsarsuaq
37,BGGH,Godthaab / Nuuk Airport,Nuuk,GL,Godthaab / Nuuk Airport - Nuuk
