,airports,cities,countries,airports - cities
0,Aleknagik / New Airport,Aleknagik,US,Aleknagik / New Airport - Aleknagik
1,Khost International Airport,Khost,AF,Khost International Airport - Khost
2,Honiara International Airport,Honiara,SB,Honiara International Airport - Honiara
3,Munda Airport,Munda,SB,Munda Airport - Munda
4,Hongyuan Airport,Aba,CN,Hongyuan Airport - Aba
5,Nauru International Airport,Yaren District,NR,Nauru International Airport - Yaren District
6,Jack F. Paulus Skiway,Amundsen-Scott South Pole Station,AQ,Jack F. Paulus Skiway - Amundsen-Scott South Pole Station
7,Boulder Clay Runway,Zucchelli Station,AQ,Boulder Clay Runway - Zucchelli Station
8,Concordia Skyway,Concordia Station,AQ,Concordia Skyway - Concordia Station
9,Vostok Skiway,Vostok Station,AQ,Vostok Skiway - Vostok Station
10,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,Alxa Left Banner Bayanhot Airport - Bayanhot
11,Buka Airport,Buka Island,PG,Buka Airport - Buka Island
12,Chimbu Airport,Kundiawa,PG,Chimbu Airport - Kundiawa
13,Daru Airport,Daru,PG,Daru Airport - Daru
14,Goroka Airport,Goronka,PG,Goroka Airport - Goronka
15,Gurney Airport,Gurney,PG,Gurney Airport - Gurney
16,Girua Airport,Popondetta,PG,Girua Airport - Popondetta
17,Hoskins Airport,Kimbe,PG,Hoskins Airport - Kimbe
18,Kerema Airport,Kerema,PG,Kerema Airport - Kerema
19,Kavieng Airport,Kavieng,PG,Kavieng Airport - Kavieng
20,Madang Airport,Madang,PG,Madang Airport - Madang
21,Mount Hagen Kagamuga Airport,Mount Hagen,PG,Mount Hagen Kagamuga Airport - Mount Hagen
22,Mendi Airport,Mendi,PG,Mendi Airport - Mendi
23,Momote Airport,Manus Island,PG,Momote Airport - Manus Island
24,Nadzab Airport,Lae,PG,Nadzab Airport - Lae
25,Port Moresby Jacksons International Airport,Port Moresby,PG,Port Moresby Jacksons International Airport - Port Moresby
26,Tokua Airport,Kokopo,PG,Tokua Airport - Kokopo
27,Vanimo Airport,Vanimo,PG,Vanimo Airport - Vanimo
28,Wapenamanda Airport,Wapenamanda,PG,Wapenamanda Airport - Wapenamanda
29,Wewak International Airport,Wewak,PG,Wewak International Airport - Wewak
30,Zabrat Airport,Baku,AZ,Zabrat Airport - Baku
31,Sitalchay Airbase,Sitalchay,AZ,Sitalchay Airbase - Sitalchay
32,Qizilagach Air Base,Qizilagach,AZ,Qizilagach Air Base - Qizilagach
33,Benguera Island Airport,Benguera Island,MZ,Benguera Island Airport - Benguera Island
34,Bezmer Air Base,Yambol,BG,Bezmer Air Base - Yambol
35,Aasiaat Airport,Aasiaat,GL,Aasiaat Airport - Aasiaat
36,Narsarsuaq Airport,Narsarsuaq,GL,Narsarsuaq Airport - Narsarsuaq
37,Godthaab / Nuuk Airport,Nuuk,GL,Godthaab / Nuuk Airport - Nuuk
38,Kulusuk Airport,Kulusuk,GL,Kulusuk Airport - Kulusuk
39,Kangerlussuaq Airport,Kangerlussuaq,GL,Kangerlussuaq Airport - Kangerlussuaq
40,Sisimiut Airport,Sisimiut,GL,Sisimiut Airport - Sisimiut
41,Thule Air Base,Thule,GL,Thule Air Base - Thule
42,Akureyri Airport,Akureyri,IS,Akureyri Airport - Akureyri
43,Egilsstaðir Airport,Egilsstaðir,IS,Egilsstaðir Airport - Egilsstaðir
44,Hornafjörður Airport,Höfn,IS,Hornafjörður Airport - Höfn
45,Húsavík Airport,Húsavík,IS,Húsavík Airport - Húsavík
46,Ísafjörður Airport,Ísafjörður,IS,Ísafjörður Airport - Ísafjörður
47,Keflavik International Airport,Reykjavík,IS,Keflavik International Airport - Reykjavík
48,Reykjavik Airport,Reykjavik,IS,Reykjavik Airport - Reykjavik
49,Siglufjörður Airport,Siglufjörður,IS,Siglufjörður Airport - Siglufjörður
50,Vestmannaeyjar Airport,Vestmannaeyjar,IS,Vestmannaeyjar Airport - Vestmannaeyjar
51,Priština Adem Jashari International Airport,Prishtina,XK,Priština Adem Jashari International Airport - Prishtina
52,Glauber de Andrade Rocha Airport,Vitória da Conquista,BR,Glauber de Andrade Rocha Airport - Vitória da Conquista
53,Orsha Airport - Balbasovo Air Base,Orsha,BY,Orsha Airport - Balbasovo Air Base - Orsha
54,Bobrovichi Air Base,Kalinovichi,BY,Bobrovichi Air Base - Kalinovichi
55,Osovtsy Air Base,Byaroza,BY,Osovtsy Air Base - Byaroza
56,Big Creek Airport,Big Creek,BZ,Big Creek Airport - Big Creek
57,Caye Caulker Airport,Caye Caulker,BZ,Caye Caulker Airport - Caye Caulker
58,Caye Chapel Airport,Caye Chapel,BZ,Caye Chapel Airport - Caye Chapel
59,Corozal Municipal Airport,Corozal,BZ,Corozal Municipal Airport - Corozal
60,Dangriga Airport,Dangriga,BZ,Dangriga Airport - Dangriga
61,Placencia Airport,Placencia,BZ,Placencia Airport - Placencia
62,Punta Gorda Airport,Punta Gorda,BZ,Punta Gorda Airport - Punta Gorda
63,Sartaneja Airport,Sartaneja,BZ,Sartaneja Airport - Sartaneja
64,John Greif II Airport,San Pedro,BZ,John Greif II Airport - San Pedro
65,Sir Barry Bowen Municipal Airport,Belize City,BZ,Sir Barry Bowen Municipal Airport - Belize City
66,Bazaruto Island Airport,Bazaruto Island,MZ,Bazaruto Island Airport - Bazaruto Island
67,Boma Lukandu International Airport,Boma,CD,Boma Lukandu International Airport - Boma
68,Laohutun Air Base,"Wafangdian, Dalian",CN,"Laohutun Air Base - Wafangdian, Dalian"
69,Pulandian Air Base,"Pulandian, Dalian",CN,"Pulandian Air Base - Pulandian, Dalian"
70,Beijing Shahezhen Air Base,Beijing,CN,Beijing Shahezhen Air Base - Beijing
71,Beijing Tongxian Air Base,Beijing,CN,Beijing Tongxian Air Base - Beijing
72,Yuanmou Air Base,Yuanmou,CN,Yuanmou Air Base - Yuanmou
73,Fengning Air Base,,CN,Fengning Air Base - nan
74,Hohhot Bikeqi Air Base,Hohhot,CN,Hohhot Bikeqi Air Base - Hohhot
75,Huairen Air Base,Shuozhou,CN,Huairen Air Base - Shuozhou
76,Liangxiangzhen Air Base,Beijing,CN,Liangxiangzhen Air Base - Beijing
77,Tangguantun Air Base,Jinghai,CN,Tangguantun Air Base - Jinghai
78,Wenshui Air Base,Lüliang,CN,Wenshui Air Base - Lüliang
79,Yangcun Air Base,,CN,Yangcun Air Base - nan
80,Yongning Air Base,Yongning,CN,Yongning Air Base - Yongning
81,Zhangjiakou Ningyuan Airport,Zhangjiakou,CN,Zhangjiakou Ningyuan Airport - Zhangjiakou
82,Zunhua Air Base,,CN,Zunhua Air Base - nan
83,Chengdu Huangtianba Air Base,Chengdu,CN,Chengdu Huangtianba Air Base - Chengdu
84,Baoshan Yunrui Airport,Baoshan,CN,Baoshan Yunrui Airport - Baoshan
85,Chongqing Baishiyi Air Base,Chongqing,CN,Chongqing Baishiyi Air Base - Chongqing
86,Lincang Boshang Airport,Lincang,CN,Lincang Boshang Airport - Lincang
87,Luliang Air Base,Qujing (Luliang),CN,Luliang Air Base - Qujing (Luliang)
88,Mengzi Air Base,,CN,Mengzi Air Base - nan
89,Qionglai Air Base,"Qionglai, Chengdu",CN,"Qionglai Air Base - Qionglai, Chengdu"
90,Xigaze Peace Airport / Shigatse Air Base,Xigazê,CN,Xigaze Peace Airport / Shigatse Air Base - Xigazê
91,Wenshan Air Base,,CN,Wenshan Air Base - nan
92,Xiangyun Midu Air Base,Xiangyun,CN,Xiangyun Midu Air Base - Xiangyun
93,Bao'anying Airport,Panzhihua,CN,Bao'anying Airport - Panzhihua
94,Baihe Ningming Air Base,Ningming,CN,Baihe Ningming Air Base - Ningming
95,Changsha Datuopu Airport / Changsha Air Base,Changsha,CN,Changsha Datuopu Airport / Changsha Air Base - Changsha
96,Dangyang Air Base,Yichang,CN,Dangyang Air Base - Yichang
97,Foluo Northeast Air Base,Ledong Li Autonomous County (Da'anzhen),CN,Foluo Northeast Air Base - Ledong Li Autonomous County (Da'anzhen)
98,Foshan Shadi Airport,Foshan (Nanhai),CN,Foshan Shadi Airport - Foshan (Nanhai)
99,Guiping Mengxu Air Base,Guiping (Guigang),CN,Guiping Mengxu Air Base - Guiping (Guigang)
100,Xinyang Minggang Airport,Xinyang,CN,Xinyang Minggang Airport - Xinyang
101,Huizhou Pingtan Airport,Huizhou (Pingtan),CN,Huizhou Pingtan Airport - Huizhou (Pingtan)
102,Jialaishi Air Base,Lingao,CN,Jialaishi Air Base - Lingao
103,Leiyang Air Base,,CN,Leiyang Air Base - nan
104,Lingshui Air Base,Lingshui Li Autonomous County,CN,Lingshui Air Base - Lingshui Li Autonomous County
105,Shangqiu Air Base,Shangqiu,CN,Shangqiu Air Base - Shangqiu
106,Zhengzhou Air Base,Zhengzhou,CN,Zhengzhou Air Base - Zhengzhou
107,Shaoguan Guitou Airport,Ruyuan Yao Autonomous County (Shaoguan),CN,Shaoguan Guitou Airport - Ruyuan Yao Autonomous County (Shaoguan)
108,Suixi Air Base,Zhanjiang (Suixi),CN,Suixi Air Base - Zhanjiang (Suixi)
