,depart_airport,depart_date,depart_time,arrival_time,arrival_date,dest_airport,airline
0,St Leonard Airport - St Leonard,2022-06-03,22:57,04:40,2022-06-03,Medicine Hat Regional Airport - Medicine Hat,Polar Air Cargo
1,Fort Smith Airport - Fort Smith,2022-06-08,20:54,01:51,2022-06-08,Victoria International Airport - Victoria,Sichuan Airlines
2,Victoria International Airport - Victoria,2022-06-26,13:58,14:24,2022-06-26,Fort Smith Airport - Fort Smith,Evergreen Intl Airlines
3,Swift Current Airport - Swift Current,2022-06-30,21:44,23:38,2022-06-30,Fort Smith Airport - Fort Smith,Aegean Airlines
4,St Leonard Airport - St Leonard,2022-06-28,00:46,06:43,2022-06-28,Lynn Lake Airport - Lynn Lake,Kiwi Travel Intl Airlines
5,Swift Current Airport - Swift Current,2022-06-02,12:47,17:19,2022-06-02,Timmins/Victor M. Power - Timmins,Lan Chile
6,Abbotsford International Airport - Abbotsford,2022-06-27,23:57,04:34,2022-06-27,North Bay Jack Garland Airport - North Bay,Continental Micronesia
7,Gore Bay Manitoulin Airport - Gore Bay,2022-06-17,02:19,08:34,2022-06-17,Timmins/Victor M. Power - Timmins,Olympic Airways
8,St Leonard Airport - St Leonard,2022-06-24,13:13,14:08,2022-06-24,La Ronge Airport - La Ronge,United Parcel Service
9,Fort St John Airport - Fort St.John,2022-06-01,13:49,18:37,2022-06-01,Goose Bay Airport - Goose Bay,Aerolineas Argentinas
10,Lynn Lake Airport - Lynn Lake,2022-06-19,13:45,16:36,2022-06-19,Beaver Creek Airport - Beaver Creek,Xiamen Airlines
11,Timmins/Victor M. Power - Timmins,2022-06-30,06:43,07:05,2022-06-30,Whale Cove Airport - Whale Cove,Donghai Airlines
12,Goose Bay Airport - Goose Bay,2022-06-02,07:53,11:35,2022-06-02,Kapuskasing Airport - Kapuskasing,AOM French Airlines
13,Mont Joli Airport - Mont-Joli,2022-06-26,04:10,09:15,2022-06-26,Armstrong Airport - Armstrong,OzJet
14,Whale Cove Airport - Whale Cove,2022-06-17,17:56,23:45,2022-06-17,Abbotsford International Airport - Abbotsford,Air Mauritius
15,Churchill Airport - Churchill,2022-06-12,11:29,12:46,2022-06-12,Goose Bay Airport - Goose Bay,Air Australia
16,Swift Current Airport - Swift Current,2022-06-25,00:10,05:05,2022-06-25,Mont Joli Airport - Mont-Joli,Etihad Airways
17,Downsview Airport - Toronto,2022-06-17,22:33,00:28,2022-06-17,Swift Current Airport - Swift Current,Union de Transports Aeriens
18,Victoria International Airport - Victoria,2022-06-22,20:21,21:39,2022-06-22,Timmins/Victor M. Power - Timmins,Tiger Airways
19,Taloyoak Airport - Taloyoak,2022-06-02,20:56,23:04,2022-06-02,London Airport - London,V Australia
20,Fort Nelson Airport - Fort Nelson,2022-06-04,14:14,19:01,2022-06-04,Gore Bay Manitoulin Airport - Gore Bay,Virgin Atlantic Airways
21,Bonaventure Airport - Bonaventure,2022-06-19,11:41,13:28,2022-06-19,Mont Joli Airport - Mont-Joli,Airlines PNG
22,Swift Current Airport - Swift Current,2022-06-24,16:45,18:29,2022-06-24,Medicine Hat Regional Airport - Medicine Hat,South African Airways
23,Mont Joli Airport - Mont-Joli,2022-06-25,05:14,06:15,2022-06-25,Bonaventure Airport - Bonaventure,Malindo Air
24,Lester B. Pearson International Airport - Toronto,2022-06-09,12:44,13:56,2022-06-09,Northwest Regional Airport Terrace-Kitimat - Terrace,Jetstar
25,St Leonard Airport - St Leonard,2022-06-24,22:40,00:35,2022-06-24,Abbotsford International Airport - Abbotsford,Pel-Air Aviation
26,Gore Bay Manitoulin Airport - Gore Bay,2022-06-12,05:00,06:03,2022-06-12,Downsview Airport - Toronto,AOM French Airlines
27,La Ronge Airport - La Ronge,2022-06-21,16:33,19:39,2022-06-21,Churchill Airport - Churchill,Air Nauru
28,Medicine Hat Regional Airport - Medicine Hat,2022-06-14,02:28,05:25,2022-06-14,La Ronge Airport - La Ronge,Samoa Airways
29,Victoria International Airport - Victoria,2022-06-19,16:08,21:02,2022-06-19,Lynn Lake Airport - Lynn Lake,Cebu Pacific Air
30,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-09,12:26,17:33,2022-06-09,Whale Cove Airport - Whale Cove,Yugoslav Airlines
31,Lester B. Pearson International Airport - Toronto,2022-06-24,07:17,11:42,2022-06-24,Victoria International Airport - Victoria,Cathay Pacific Airways
32,Victoria International Airport - Victoria,2022-06-09,19:51,21:45,2022-06-09,Kapuskasing Airport - Kapuskasing,Aegean Airlines
33,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-06,05:51,07:03,2022-06-06,Kapuskasing Airport - Kapuskasing,Royal Tongan Airlines
34,London Airport - London,2022-06-15,15:52,18:53,2022-06-15,Swift Current Airport - Swift Current,SkyExpress
35,Goose Bay Airport - Goose Bay,2022-06-09,15:14,21:05,2022-06-09,Bonaventure Airport - Bonaventure,Singapore Airlines
36,Lester B. Pearson International Airport - Toronto,2022-06-04,11:19,13:14,2022-06-04,Fort Nelson Airport - Fort Nelson,Airlines PNG
37,Medicine Hat Regional Airport - Medicine Hat,2022-06-24,13:03,13:47,2022-06-24,Kapuskasing Airport - Kapuskasing,Gulf Air
38,Mont Joli Airport - Mont-Joli,2022-06-18,01:09,07:27,2022-06-18,Lynn Lake Airport - Lynn Lake,SkyExpress
39,Medicine Hat Regional Airport - Medicine Hat,2022-06-10,21:41,03:12,2022-06-10,Kapuskasing Airport - Kapuskasing,South African Airways
40,Churchill Airport - Churchill,2022-06-01,23:00,01:45,2022-06-01,Beaver Creek Airport - Beaver Creek,Emirates
41,Downsview Airport - Toronto,2022-06-05,09:58,11:38,2022-06-05,Kapuskasing Airport - Kapuskasing,Hainan Airlines
42,St. John's International Airport - St. John's,2022-06-08,22:52,01:35,2022-06-08,Beaver Creek Airport - Beaver Creek,Silk Air
43,Whale Cove Airport - Whale Cove,2022-06-07,15:51,17:19,2022-06-07,Swift Current Airport - Swift Current,Transair
44,Churchill Airport - Churchill,2022-06-15,03:44,06:40,2022-06-15,Victoria International Airport - Victoria,V Australia
45,Taloyoak Airport - Taloyoak,2022-06-01,07:58,10:22,2022-06-01,Timmins/Victor M. Power - Timmins,Batik Air Indonesia
46,Abbotsford International Airport - Abbotsford,2022-06-06,10:32,10:53,2022-06-06,Churchill Airport - Churchill,Evergreen Intl Airlines
47,La Ronge Airport - La Ronge,2022-06-23,03:42,04:51,2022-06-23,Victoria International Airport - Victoria,Evergreen Intl Airlines
48,La Ronge Airport - La Ronge,2022-06-09,14:33,19:14,2022-06-09,Fort Nelson Airport - Fort Nelson,Air Chathams
49,Armstrong Airport - Armstrong,2022-06-27,08:59,09:20,2022-06-27,Downsview Airport - Toronto,EgyptAir
50,Goose Bay Airport - Goose Bay,2022-06-17,21:22,22:20,2022-06-17,Kapuskasing Airport - Kapuskasing,South African Airways
51,Downsview Airport - Toronto,2022-06-06,20:09,22:42,2022-06-06,Lynn Lake Airport - Lynn Lake,All Nippon Airways
52,Kapuskasing Airport - Kapuskasing,2022-06-28,09:24,15:09,2022-06-28,Whale Cove Airport - Whale Cove,Continental Micronesia
53,St Leonard Airport - St Leonard,2022-06-25,20:54,00:54,2022-06-25,Downsview Airport - Toronto,Lan Chile
54,Swift Current Airport - Swift Current,2022-06-06,13:31,17:24,2022-06-06,Lynn Lake Airport - Lynn Lake,Scoot
55,Armstrong Airport - Armstrong,2022-06-17,22:57,02:00,2022-06-17,Whale Cove Airport - Whale Cove,KLM Royal Dutch Airlines
56,Abbotsford International Airport - Abbotsford,2022-06-29,15:48,20:48,2022-06-29,Swift Current Airport - Swift Current,Sempati Air
